,Entity,Type
2301,(+)-NANM,drug_n
2315,(+)-NANM,drug_n
2304,(+)-NANM,drug_n
2299,(+)-NANM,drug_n
2312,(+)-NANM,drug_n
2292,(+)-NANM,drug_n
2297,(+)-NANM,drug_n
2296,(-)-NANM,drug_n
2311,(-)-NANM,drug_n
2300,(-)-NANM,drug_n
2298,(-)-NANM,drug_n
2303,(-)-NANM,drug_n
2295,(-)-NANM,drug_n
2294,(-)-NANM,drug_n
2308,(-)-NANM,drug_n
54,(-)-erythro-fluorocitrate,drug_n
50,(-)-erythro-fluorocitrate,drug_n
58,(-)-erythro-fluorocitrate,drug_n
37,(-)-erythro-fluorocitrate,drug_n
46,(-)-erythro-fluorocitrate,drug_n
42,(-)-erythro-fluorocitrate,drug_n
44,(-)-erythro-fluorocitrate,drug_n
11399,(2-adamantyl)hexamethylenimine,drug_n
2827,(R)-warfarin,drug
2828,(S)-warfarin,drug
9178,(beta)-agonists,group
3483,"1,25(OH)2D3",drug
3482,"1,25(OH)2D3",drug
3479,"1,25(OH)2D3",drug
3474,"1,25(OH)2D3",drug
3471,"1,25(OH)2D3",drug
3473,"1,25(OH)2D3",drug
3480,"1,25(OH)2D3",drug
53,"1,3-difluoro-2-propanol",drug_n
51,"1,3-difluoro-2-propanol",drug_n
61,"1,3-difluoro-2-propanol",drug_n
48,"1,3-difluoro-2-propanol",drug_n
47,"1,3-difluoro-2-propanol",drug_n
60,"1,3-difluoro-2-propanol",drug_n
40,"1,3-difluoro-2-propanol",drug_n
55,"1,3-difluoro-2-propanol",drug_n
57,"1,3-difluoroacetone",drug_n
49,"1,3-difluoroacetone",drug_n
45,"1,3-difluoroacetone",drug_n
62,"1,3-difluoroacetone",drug_n
41,"1,3-difluoroacetone",drug_n
43,"1,3-difluoroacetone",drug_n
38,"1,3-difluoroacetone",drug_n
36,"1,3-difluoroacetone",drug_n
11402,"1-methyl-4-phenyl-1,2,3,4-tetrahydropyridine",drug_n
3728,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
3709,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
3710,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
3725,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
3724,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
3723,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
