",_ 16
"._ 11
"__ 1
"_a 5
"_b 3
"_d 2
"_o 1
"_s 2
"_u 4
"_v 1
"_w 3
"_z 3
"ap 2
"au 2
"br 3
"ch 2
"da 5
"di 4
"ec 1
"ei 1
"es 1
"eu 1
"f" 1
"ge 3
"he 1
"ho 1
"i" 1
"k" 2
"ki 1
"me 1
"mi 1
"mu 2
"ni 1
"p" 2
"pf 1
"ra 1
"s" 1
"sp 1
"t" 2
"u" 1
"wa 4
"z" 1
"ü" 1
(au 2
(ba 1
(ca 2
(fa 1
(ge 1
(ly 1
(mo 1
(sc 1
(ur 1
(vo 2
(vu 1
(„h 1
),_ 3
)._ 1
)_" 1
)_a 2
)_i 1
)_l 1
)_o 2
)_u 3
)_v 1
,_" 8
,_a 13
,_b 1
,_c 2
,_d 32
,_e 4
,_f 4
,_g 1
,_h 2
,_i 6
,_j 2
,_k 2
,_l 1
,_m 5
,_n 3
,_o 5
,_p 3
,_r 1
,_s 13
,_u 4
,_v 1
,_w 11
,_ü 1
-,_ 1
-_u 5
-de 2
-re 1
-sc 1
."_ 1
.." 1
... 1
.[2 1
.[3 1
.[4 1
.[5 1
._" 1
._3 1
._4 1
.__ 38
._a 8
._b 1
._c 1
._d 17
._e 7
._f 2
._g 2
._h 3
._i 5
._j 2
._m 1
._n 1
._s 4
._u 3
._v 3
._w 1
._z 2
0._ 1
006 1
00_ 3
06_ 1
0_j 2
0_k 2
0_m 1
0_u 1
100 1
153 1
16_ 1
193 1
20. 1
200 1
2]_ 1
2_z 1
30_ 2
33_ 1
38_ 1
3]_ 1
3_s 1
40_ 1
42_ 1
4]_ 1
538 1
5]_ 1
6._ 1
600 1
6]_ 1
6_g 1
6_w 1
800 1
8_b 1
933 1
:_" 1
:__ 1
:_a 1
:_d 2
:_h 1
;_d 1
;_j 1
[2] 1
[3] 1
[4] 1
[5] 1
[6] 1
]__ 4
]_l 1
_"a 4
_"b 3
_"c 2
_"d 9
_"e 4
_"f 1
_"g 3
_"h 2
_"i 1
_"k 3
_"m 4
_"n 1
_"p 3
_"r 1
_"s 2
_"t 2
_"u 1
_"w 4
_"z 1
_"ü 1
_(a 2
_(b 1
_(c 2
_(f 1
_(g 1
_(l 1
_(m 1
_(s 1
_(u 1
_(v 3
_(„ 1
_10 1
_15 1
_16 1
_19 1
_20 2
_30 2
_40 1
_42 1
_6. 1
_60 1
_80 1
__a 5
__b 3
__c 1
__d 17
__e 2
__h 2
__i 3
__m 1
__s 4
__t 1
__v 2
__z 3
_ab 4
_ae 1
_af 1
_ak 1
_al 48
_am 4
_an 28
_ar 3
_as 2
_au 63
_ba 3
_be 45
_bi 11
_bl 3
_bo 1
_br 5
_bu 3
_bz 1
_bä 1
_ca 18
_ch 3
_co 1
_cy 4
_da 55
_dd 1
_de 118
_di 135
_do 4
_dr 4
_du 9
_eh 1
_ei 52
_en 8
_eo 1
_er 16
_es 12
_ex 2
_fa 6
_fe 4
_fi 3
_fl 1
_fo 6
_fr 10
_fu 6
_fü 12
_ga 7
_ge 42
_gi 5
_gl 2
_go 1
_gr 14
_ha 17
_he 13
_hi 2
_ho 9
_hu 3
_hy 1
_hä 1
_i_ 1
_ih 1
_ii 1
_im 21
_in 48
_is 13
_ja 8
_je 13
_ju 2
_ka 7
_ke 1
_ki 2
_kl 4
_ko 7
_kö 2
_la 23
_le 7
_lo 1
_lu 6
_ma 18
_me 11
_mi 30
_mo 5
_mö 1
_mü 1
_na 13
_ne 8
_ni 15
_no 12
_nu 12
_nü 1
_ob 9
_od 6
_of 1
_oh 2
_ol 1
_or 2
_os 5
_ot 2
_pa 4
_pe 2
_pf 3
_po 2
_pr 6
_pu 1
_pä 1
_ra 3
_re 22
_rh 2
_ri 1
_ro 3
_ru 1
_rö 1
_sa 5
_sc 28
_se 24
_si 55
_so 28
_sp 33
_st 17
_sy 2
_sä 5
_sü 5
_ta 1
_te 6
_th 3
_ti 2
_to 1
_tr 5
_ty 1
_tä 1
_tö 1
_um 3
_un 98
_ur 4
_ve 44
_vi 12
_vo 44
_w. 1
_wa 10
_we 20
_wi 23
_wo 15
_wu 7
_wä 2
_wö 7
_wü 1
_za 1
_ze 11
_zi 3
_zu 39
_zw 19
_zä 2
_äh 2
_üb 9
_„c 1
_„k 1
_„u 1
a,_ 2
a._ 1
a_b 1
a_d 2
a_e 2
a_s 1
a_z 1
aat 2
ab, 1
ab; 1
ab_ 3
abe 9
abg 1
abz 1
ach 61
aci 2
ack 2
ada 1
ade 2
adi 1
adt 1
ae) 1
ae, 1
ae_ 3
ael 2
aen 1
afr 1
aft 7
ag_ 1
aga 1
agd 1
age 11
ago 1
ags 1
agt 2
agu 1
ahe 1
ahm 1
ahn 4
ahr 10
ahu 1
ais 1
akt 3
al- 1
al_ 4
alb 2
ald 1
ale 51
ali 7
all 23
als 28
alt 20
alv 1
alz 2
am_ 5
ame 3
ami 4
amm 5
amt 2
an, 1
an_ 17
ana 5
anc 1
and 32
ang 8
ani 27
ann 9
ant 4
anz 5
aon 1
apf 1
aph 2
app 1
ar, 1
ar- 1
ar_ 10
ara 4
arb 2
arc 1
ard 7
are 7
ari 1
ark 3
arn 1
ars 1
art 9
as" 4
as, 1
as_ 32
asc 1
asi 1
ask 1
asp 1
ass 17
ast 2
at" 4
at_ 3
ate 11
ati 5
ato 3
att 5
atu 1
atz 2
au" 1
au_ 1
auc 17
aue 1
auf 20
aug 1
aul 1
aum 7
aup 1
aus 47
aut 14
auß 3
aye 2
azi 1
azu 1
b,_ 1
b;_ 1
b_d 3
b_e 2
b_u 1
bac 4
ban 1
bar 1
bau 1
bay 2
be_ 1
bed 3
bee 1
beg 8
bei 21
bel 3
ben 11
beo 2
ber 29
bes 3
bet 4
bez 2
bge 1
bib 3
bie 3
bil 6
bin 4
bis 6
ble 1
bli 5
blö 1
bor 1
bra 6
bre 4
bri 1
bro 3
bru 1
bsp 1
bt, 1
bt_ 6
bte 2
buc 2
bun 14
bur 3
bzu 1
bzw 1
bän 1
bär 1
bür 1
ca. 1
can 19
cao 1
car 1
ch" 2
ch, 11
ch- 3
ch. 7
ch: 3
ch_ 81
cha 10
chc 1
chd 9
che 146
chf 1
chg 3
chi 30
chk 2
chl 9
chn 3
cho 3
chr 26
chs 22
cht 47
chu 4
chw 8
chä 1
chü 2
cis 3
ck, 1
cke 10
ckf 1
ckl 2
ckt 2
col 1
cti 3
ctu 1
cyn 3
cyo 6
d"_ 2
d)_ 1
d,_ 7
d-_ 1
d._ 1
d_" 5
d_8 1
d_a 14
d_b 3
d_c 2
d_d 14
d_e 3
d_f 3
d_g 5
d_h 4
d_i 4
d_j 1
d_k 2
d_m 2
d_n 4
d_o 4
d_p 2
d_r 2
d_s 10
d_t 1
d_u 2
d_v 5
d_w 4
d_z 4
da_ 4
dab 1
